Country_Name,Nombre_Pais,Cod_Na_UIS,Context_Indicator_Name,Nombre_Indicador_Contexto,EMAC_IND_CONT_COD,Year,Value
Antigua and Barbuda,Antigua y Barbuda,AG,"Adjusted net enrollment rate, primary (% of primary school age children)","Tasa neta de matrícula ajustada, primaria (% de niños en edad de asistir a la escuela primaria)",1,2000,
Antigua and Barbuda,Antigua y Barbuda,AG,Adolescents out of school (% of lower secondary school age),Adolescentes fuera de la escuela (% de los adolescentes en edad de asistir a la secundaria baja),2,2000,
Antigua and Barbuda,Antigua y Barbuda,AG,Children out of school (% of primary school age),Niños fuera de la escuela (% de los niños en edad de asistir a la primaria),3,2000,
Antigua and Barbuda,Antigua y Barbuda,AG,"Children out of school, primary","Niños fuera de la escuela, primaria",4,2000,
Antigua and Barbuda,Antigua y Barbuda,AG,"Compulsory education, duration (years)","Educación obligatoria, duración (años)",5,2000,11
Antigua and Barbuda,Antigua y Barbuda,AG,"Current education expenditure, total (% of total expenditure in public institutions)","Gasto corriente en educación, total (% del gasto total en instituciones públicas)",6,2000,
Antigua and Barbuda,Antigua y Barbuda,AG,"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","Logro educativo, al menos el primer ciclo de secundaria completado, población 25+, total (%) (acumulado)",7,2000,
Antigua and Barbuda,Antigua y Barbuda,AG,"Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)","Logro educativo, al menos primaria completada, población 25+, total (%) (acumulado)",8,2000,
Antigua and Barbuda,Antigua y Barbuda,AG,"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","Logro educativo, al menos secundaria alta completada, población 25+, total (%) (acumulado)",9,2000,
Antigua and Barbuda,Antigua y Barbuda,AG,Expenditure on primary education (% of government expenditure on education),Gasto en educación primaria (% del gasto público en educación),10,2000,
Antigua and Barbuda,Antigua y Barbuda,AG,Expenditure on secondary education (% of government expenditure on education),Gasto en educación secundaria (% del gasto público en educación),11,2000,
Antigua and Barbuda,Antigua y Barbuda,AG,GDP (current US$),PIB (US$ corrientes),12,2000,826370370.4
Antigua and Barbuda,Antigua y Barbuda,AG,GDP per capita (current US$),PIB per cápita (US$ corrientes),13,2000,11010.19746
Antigua and Barbuda,Antigua y Barbuda,AG,Gini index,Índice Gini,14,2000,
Antigua and Barbuda,Antigua y Barbuda,AG,"Government expenditure on education, total (% of GDP)","Gasto público en educación, total (% del PIB)",15,2000,
Antigua and Barbuda,Antigua y Barbuda,AG,"Government expenditure on education, total (% of government expenditure)","Gasto público en educación, total (% del gasto público)",16,2000,
Antigua and Barbuda,Antigua y Barbuda,AG,"Government expenditure per student, primary (% of GDP per capita)","Gasto público por alumno, primaria (% del PIB per cápita)",17,2000,
