idioma,cod_pais,pais,parametro,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,,,,,,,,,,,,
esp,cl,Chile,sec_baja,75.0,72.8,,76.2,,78.5,,79.6,,,,,,,,,,,,,,
esp,co,Colombia,sec_baja,44.2,45.4,46.4,48.1,49.5,50.3,52.1,,54.4,55.8,,,,,,,,,,,,
esp,ec,Ecuador,sec_baja,44.7,45.3,46.8,47.9,48.8,52.2,51.9,52.9,,,,,,,,,,,,,,
esp,uy,Uruguay,sec_baja,49.5,51.2,52.5,52.3,53.4,54.1,54.9,56.0,56.8,57.6,,,,,,,,,,,,
esp,cl,Chile,primaria,84.7,80.9,,85.7,,87.1,,87.5,,,,,,,,,,,,,,
esp,co,Colombia,primaria,72.1,73.0,73.6,74.5,75.4,76.0,77.1,,78.9,79.9,,,,,,,,,,,,
esp,ec,Ecuador,primaria,75.1,76.7,77.3,79.1,81.1,82.6,82.7,82.8,,,,,,,,,,,,,,
esp,uy,Uruguay,primaria,85.6,87.6,88.4,88.6,88.9,89.4,89.9,90.3,91.2,91.3,,,,,,,,,,,,
esp,cl,Chile,sec_alta,52.9,50.8,,53.8,,57.0,,59.2,,,,,,,,,,,,,,
esp,co,Colombia,sec_alta,39.1,40.3,41.4,43.3,44.6,45.4,47.3,,49.8,51.1,,,,,,,,,,,,
esp,ec,Ecuador,sec_alta,34.9,35.9,37.9,38.6,38.5,42.3,42.3,43.5,,,,,,,,,,,,,,
esp,uy,Uruguay,sec_alta,27.2,27.0,27.5,27.6,28.5,28.7,28.7,30.0,30.4,31.5,,,,,,,,,,,,
eng,cl,Chile,low_sec,75.0,72.8,,76.2,,78.5,,79.6,,,,,,,,,,,,,,
eng,co,Colombia,low_sec,44.2,45.4,46.4,48.1,49.5,50.3,52.1,,54.4,55.8,,,,,,,,,,,,
eng,ec,Ecuador,low_sec,44.7,45.3,46.8,47.9,48.8,52.2,51.9,52.9,,,,,,,,,,,,,,
eng,uy,Uruguay,low_sec,49.5,51.2,52.5,52.3,53.4,54.1,54.9,56.0,56.8,57.6,,,,,,,,,,,,
eng,cl,Chile,primary,84.7,80.9,,85.7,,87.1,,87.5,,,,,,,,,,,,,,
eng,co,Colombia,primary,72.1,73.0,73.6,74.5,75.4,76.0,77.1,,78.9,79.9,,,,,,,,,,,,
eng,ec,Ecuador,primary,75.1,76.7,77.3,79.1,81.1,82.6,82.7,82.8,,,,,,,,,,,,,,
eng,uy,Uruguay,primary,85.6,87.6,88.4,88.6,88.9,89.4,89.9,90.3,91.2,91.3,,,,,,,,,,,,
eng,cl,Chile,up_sec,52.9,50.8,,53.8,,57.0,,59.2,,,,,,,,,,,,,,
eng,co,Colombia,up_sec,39.1,40.3,41.4,43.3,44.6,45.4,47.3,,49.8,51.1,,,,,,,,,,,,
eng,ec,Ecuador,up_sec,34.9,35.9,37.9,38.6,38.5,42.3,42.3,43.5,,,,,,,,,,,,,,
eng,uy,Uruguay,up_sec,27.2,27.0,27.5,27.6,28.5,28.7,28.7,30.0,30.4,31.5,,,,,,,,,,,,
