Country_Name,Indicator_Name,Year,Value
Antigua and Barbuda,"Adjusted net enrollment rate, primary (% of primary school age children)",2000,
Antigua and Barbuda,Adolescents out of school (% of lower secondary school age),2000,
Antigua and Barbuda,Children out of school (% of primary school age),2000,
Antigua and Barbuda,"Children out of school, primary",2000,
Antigua and Barbuda,"Compulsory education, duration (years)",2000,11
Antigua and Barbuda,"Current education expenditure, total (% of total expenditure in public institutions)",2000,
Antigua and Barbuda,"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)",2000,
Antigua and Barbuda,"Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)",2000,
Antigua and Barbuda,"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)",2000,
Antigua and Barbuda,Expenditure on primary education (% of government expenditure on education),2000,
Antigua and Barbuda,Expenditure on secondary education (% of government expenditure on education),2000,
Antigua and Barbuda,GDP (current US$),2000,826370370.4
Antigua and Barbuda,GDP per capita (current US$),2000,11010.19746
Antigua and Barbuda,Gini index,2000,
Antigua and Barbuda,"Government expenditure on education, total (% of GDP)",2000,
Antigua and Barbuda,"Government expenditure on education, total (% of government expenditure)",2000,
Antigua and Barbuda,"Government expenditure per student, primary (% of GDP per capita)",2000,
Antigua and Barbuda,"Government expenditure per student, secondary (% of GDP per capita)",2000,
Antigua and Barbuda,International migrant stock (% of population),2000,29.71229137
Antigua and Barbuda,"International migrant stock, total",2000,23071
Antigua and Barbuda,"Literacy rate, adult total (% of people ages 15 and above)",2000,
Antigua and Barbuda,"Literacy rate, youth total (% of people ages 15-24)",2000,
Antigua and Barbuda,Net migration,2000,271
Antigua and Barbuda,"Over-age students, primary (% of enrollment)",2000,
Antigua and Barbuda,"Population ages 0-14, female",2000,10529
Antigua and Barbuda,"Population ages 0-14, male",2000,10334
Antigua and Barbuda,"Population ages 15-64, female",2000,26050
Antigua and Barbuda,"Population ages 15-64, male",2000,22694
Antigua and Barbuda,"Population ages 65 and above, female",2000,3169
Antigua and Barbuda,"Population ages 65 and above, male",2000,2279
Antigua and Barbuda,"Population, female",2000,39748
Antigua and Barbuda,"Population, male",2000,35307
Antigua and Barbuda,"Population, total",2000,75055
Antigua and Barbuda,Poverty headcount ratio at national poverty lines (% of population),2000,
Antigua and Barbuda,"Primary education, pupils",2000,13025
Antigua and Barbuda,"Repeaters, primary, total (% of total enrollment)",2000,
Antigua and Barbuda,Rural population,2000,50942
Antigua and Barbuda,"School enrollment, preprimary (% gross)",2000,55.38253021
Antigua and Barbuda,"School enrollment, primary (% gross)",2000,127.5960007
Antigua and Barbuda,"School enrollment, primary (% net)",2000,
Antigua and Barbuda,"School enrollment, secondary (% gross)",2000,79.66178131
Antigua and Barbuda,"School enrollment, secondary (% net)",2000,70.69304
Antigua and Barbuda,"Secondary education, pupils",2000,5276
Antigua and Barbuda,Urban population,2000,24113
Argentina,"Adjusted net enrollment rate, primary (% of primary school age children)",2000,99.35688
Argentina,Adolescents out of school (% of lower secondary school age),2000,0.834389985
Argentina,Children out of school (% of primary school age),2000,0.431639999
Argentina,"Children out of school, primary",2000,18285
Argentina,"Compulsory education, duration (years)",2000,10
Argentina,"Current education expenditure, total (% of total expenditure in public institutions)",2000,
Argentina,"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)",2000,
Argentina,"Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)",2000,
Argentina,"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)",2000,
